"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Заполнение формы заказа валидными данными и проверка переходов по логотипам","4094","2. Оформление заказа через нижнюю кнопку Заказать","tests","2026-09-18","passed","2026-09-18","TestOrder","test_order","",""
"","2596","Проверка соответствия вопроса и ответа: 2. Несколько самокатов","tests","2026-09-18","passed","2026-09-18","","test_faq","",""
"","1588","Проверка соответствия вопроса и ответа: 8. Доставка в область","tests","2026-09-18","passed","2026-09-18","","test_faq","",""
"","3919","Проверка соответствия вопроса и ответа: 4. Доставка сегодня","tests","2026-09-18","passed","2026-09-18","","test_faq","",""
"","4514","Проверка соответствия вопроса и ответа: 3. Время аренды","tests","2026-09-18","passed","2026-09-18","","test_faq","",""
"","1760","Проверка соответствия вопроса и ответа: 1. Стоимость аренды","tests","2026-09-18","passed","2026-09-18","","test_faq","",""
"","1591","Проверка соответствия вопроса и ответа: 6. Зарядка самоката","tests","2026-09-18","passed","2026-09-18","","test_faq","",""
"Заполнение формы заказа валидными данными и проверка переходов по логотипам","4221","1. Оформление заказа через верхнюю кнопку Заказать","tests","2026-09-18","passed","2026-09-18","TestOrder","test_order","",""
"","1545","Проверка соответствия вопроса и ответа: 7. Отмена после доставки","tests","2026-09-18","passed","2026-09-18","","test_faq","",""
"","2684","Проверка соответствия вопроса и ответа: 5. Отмена заказа","tests","2026-09-18","passed","2026-09-18","","test_faq","",""
